Date,Currency,Exchange
1/1/2015,USD,1.0
1/1/2015,CAD,1.32
1/1/2015,AUD,1.55
1/1/2015,EUR,0.92
1/1/2015,GBP,0.79
1/2/2015,USD,1.0
1/2/2015,CAD,1.32
1/2/2015,AUD,1.55
1/2/2015,EUR,0.92
1/2/2015,GBP,0.79
1/3/2015,USD,1.0
1/3/2015,CAD,1.32
1/3/2015,AUD,1.55
1/3/2015,EUR,0.92
1/3/2015,GBP,0.79
1/4/2015,USD,1.0
1/4/2015,CAD,1.32
1/4/2015,AUD,1.55
1/4/2015,EUR,0.92
1/4/2015,GBP,0.79
1/5/2015,USD,1.0
1/5/2015,CAD,1.32
1/5/2015,AUD,1.55
1/5/2015,EUR,0.92
1/5/2015,GBP,0.79
1/6/2015,USD,1.0
1/6/2015,CAD,1.32
1/6/2015,AUD,1.55
1/6/2015,EUR,0.92
1/6/2015,GBP,0.79
1/7/2015,USD,1.0
1/7/2015,CAD,1.32
1/7/2015,AUD,1.55
1/7/2015,EUR,0.92
1/7/2015,GBP,0.79
1/8/2015,USD,1.0
1/8/2015,CAD,1.32
1/8/2015,AUD,1.55
1/8/2015,EUR,0.92
1/8/2015,GBP,0.79
1/9/2015,USD,1.0
1/9/2015,CAD,1.32
1/9/2015,AUD,1.55
1/9/2015,EUR,0.92
1/9/2015,GBP,0.79
1/10/2015,USD,1.0
1/10/2015,CAD,1.32
1/10/2015,AUD,1.55
1/10/2015,EUR,0.92
1/10/2015,GBP,0.79
1/11/2015,USD,1.0
1/11/2015,CAD,1.32
1/11/2015,AUD,1.55
1/11/2015,EUR,0.92
1/11/2015,GBP,0.79
1/12/2015,USD,1.0
1/12/2015,CAD,1.32
1/12/2015,AUD,1.55
1/12/2015,EUR,0.92
1/12/2015,GBP,0.79
1/13/2015,USD,1.0
1/13/2015,CAD,1.32
1/13/2015,AUD,1.55
1/13/2015,EUR,0.92
1/13/2015,GBP,0.79
1/14/2015,USD,1.0
1/14/2015,CAD,1.32
1/14/2015,AUD,1.55
1/14/2015,EUR,0.92
1/14/2015,GBP,0.79
1/15/2015,USD,1.0
1/15/2015,CAD,1.32
1/15/2015,AUD,1.55
1/15/2015,EUR,0.92
1/15/2015,GBP,0.79
1/16/2015,USD,1.0
1/16/2015,CAD,1.32
1/16/2015,AUD,1.55
1/16/2015,EUR,0.92
1/16/2015,GBP,0.79
1/17/2015,USD,1.0
1/17/2015,CAD,1.32
1/17/2015,AUD,1.55
1/17/2015,EUR,0.92
1/17/2015,GBP,0.79
1/18/2015,USD,1.0
1/18/2015,CAD,1.32
1/18/2015,AUD,1.55
1/18/2015,EUR,0.92
1/18/2015,GBP,0.79
1/19/2015,USD,1.0
1/19/2015,CAD,1.32
1/19/2015,AUD,1.55
1/19/2015,EUR,0.92
1/19/2015,GBP,0.79
1/20/2015,USD,1.0
1/20/2015,CAD,1.32
1/20/2015,AUD,1.55
1/20/2015,EUR,0.92
1/20/2015,GBP,0.79
1/21/2015,USD,1.0
1/21/2015,CAD,1.32
1/21/2015,AUD,1.55
1/21/2015,EUR,0.92
1/21/2015,GBP,0.79
1/22/2015,USD,1.0
1/22/2015,CAD,1.32
1/22/2015,AUD,1.55
1/22/2015,EUR,0.92
1/22/2015,GBP,0.79
1/23/2015,USD,1.0
1/23/2015,CAD,1.32
1/23/2015,AUD,1.55
1/23/2015,EUR,0.92
1/23/2015,GBP,0.79
1/24/2015,USD,1.0
1/24/2015,CAD,1.32
1/24/2015,AUD,1.55
1/24/2015,EUR,0.92
1/24/2015,GBP,0.79
1/25/2015,USD,1.0
1/25/2015,CAD,1.32
1/25/2015,AUD,1.55
1/25/2015,EUR,0.92
1/25/2015,GBP,0.79
1/26/2015,USD,1.0
1/26/2015,CAD,1.32
1/26/2015,AUD,1.55
1/26/2015,EUR,0.92
1/26/2015,GBP,0.79
1/27/2015,USD,1.0
1/27/2015,CAD,1.32
1/27/2015,AUD,1.55
1/27/2015,EUR,0.92
1/27/2015,GBP,0.79
1/28/2015,USD,1.0
1/28/2015,CAD,1.32
1/28/2015,AUD,1.55
1/28/2015,EUR,0.92
1/28/2015,GBP,0.79
1/29/2015,USD,1.0
1/29/2015,CAD,1.32
1/29/2015,AUD,1.55
1/29/2015,EUR,0.92
1/29/2015,GBP,0.79
1/30/2015,USD,1.0
1/30/2015,CAD,1.32
1/30/2015,AUD,1.55
1/30/2015,EUR,0.92
1/30/2015,GBP,0.79
1/31/2015,USD,1.0
1/31/2015,CAD,1.32
1/31/2015,AUD,1.55
1/31/2015,EUR,0.92
1/31/2015,GBP,0.79
2/1/2015,USD,1.0
2/1/2015,CAD,1.32
2/1/2015,AUD,1.55
2/1/2015,EUR,0.92
2/1/2015,GBP,0.79
2/2/2015,USD,1.0
2/2/2015,CAD,1.32
2/2/2015,AUD,1.55
2/2/2015,EUR,0.92
2/2/2015,GBP,0.79
2/3/2015,USD,1.0
2/3/2015,CAD,1.32
2/3/2015,AUD,1.55
2/3/2015,EUR,0.92
2/3/2015,GBP,0.79
2/4/2015,USD,1.0
2/4/2015,CAD,1.32
2/4/2015,AUD,1.55
2/4/2015,EUR,0.92
2/4/2015,GBP,0.79
2/5/2015,USD,1.0
2/5/2015,CAD,1.32
2/5/2015,AUD,1.55
2/5/2015,EUR,0.92
2/5/2015,GBP,0.79
2/6/2015,USD,1.0
2/6/2015,CAD,1.32
2/6/2015,AUD,1.55
2/6/2015,EUR,0.92
2/6/2015,GBP,0.79
2/7/2015,USD,1.0
2/7/2015,CAD,1.32
2/7/2015,AUD,1.55
2/7/2015,EUR,0.92
2/7/2015,GBP,0.79
2/8/2015,USD,1.0
2/8/2015,CAD,1.32
2/8/2015,AUD,1.55
2/8/2015,EUR,0.92
2/8/2015,GBP,0.79
2/9/2015,USD,1.0
2/9/2015,CAD,1.32
2/9/2015,AUD,1.55
2/9/2015,EUR,0.92
2/9/2015,GBP,0.79
2/10/2015,USD,1.0
2/10/2015,CAD,1.32
2/10/2015,AUD,1.55
2/10/2015,EUR,0.92
2/10/2015,GBP,0.79
2/11/2015,USD,1.0
2/11/2015,CAD,1.32
2/11/2015,AUD,1.55
2/11/2015,EUR,0.92
2/11/2015,GBP,0.79
2/12/2015,USD,1.0
2/12/2015,CAD,1.32
2/12/2015,AUD,1.55
2/12/2015,EUR,0.92
2/12/2015,GBP,0.79
2/13/2015,USD,1.0
2/13/2015,CAD,1.32
2/13/2015,AUD,1.55
2/13/2015,EUR,0.92
2/13/2015,GBP,0.79
2/14/2015,USD,1.0
2/14/2015,CAD,1.32
2/14/2015,AUD,1.55
2/14/2015,EUR,0.92
2/14/2015,GBP,0.79
2/15/2015,USD,1.0
2/15/2015,CAD,1.32
2/15/2015,AUD,1.55
2/15/2015,EUR,0.92
2/15/2015,GBP,0.79
2/16/2015,USD,1.0
2/16/2015,CAD,1.32
2/16/2015,AUD,1.55
2/16/2015,EUR,0.92
2/16/2015,GBP,0.79
2/17/2015,USD,1.0
2/17/2015,CAD,1.32
2/17/2015,AUD,1.55
2/17/2015,EUR,0.92
2/17/2015,GBP,0.79
2/18/2015,USD,1.0
2/18/2015,CAD,1.32
2/18/2015,AUD,1.55
2/18/2015,EUR,0.92
2/18/2015,GBP,0.79
2/19/2015,USD,1.0
2/19/2015,CAD,1.32
2/19/2015,AUD,1.55
2/19/2015,EUR,0.92
2/19/2015,GBP,0.79
2/20/2015,USD,1.0
2/20/2015,CAD,1.32
2/20/2015,AUD,1.55
2/20/2015,EUR,0.92
2/20/2015,GBP,0.79
2/21/2015,USD,1.0
2/21/2015,CAD,1.32
2/21/2015,AUD,1.55
2/21/2015,EUR,0.92
2/21/2015,GBP,0.79
2/22/2015,USD,1.0
2/22/2015,CAD,1.32
2/22/2015,AUD,1.55
2/22/2015,EUR,0.92
2/22/2015,GBP,0.79
2/23/2015,USD,1.0
2/23/2015,CAD,1.32
2/23/2015,AUD,1.55
2/23/2015,EUR,0.92
2/23/2015,GBP,0.79
2/24/2015,USD,1.0
2/24/2015,CAD,1.32
2/24/2015,AUD,1.55
2/24/2015,EUR,0.92
2/24/2015,GBP,0.79
2/25/2015,USD,1.0
2/25/2015,CAD,1.32
2/25/2015,AUD,1.55
2/25/2015,EUR,0.92
2/25/2015,GBP,0.79
2/26/2015,USD,1.0
2/26/2015,CAD,1.32
2/26/2015,AUD,1.55
2/26/2015,EUR,0.92
2/26/2015,GBP,0.79
2/27/2015,USD,1.0
2/27/2015,CAD,1.32
2/27/2015,AUD,1.55
2/27/2015,EUR,0.92
2/27/2015,GBP,0.79
2/28/2015,USD,1.0
2/28/2015,CAD,1.32
2/28/2015,AUD,1.55
2/28/2015,EUR,0.92
2/28/2015,GBP,0.79
3/1/2015,USD,1.0
3/1/2015,CAD,1.32
3/1/2015,AUD,1.55
3/1/2015,EUR,0.92
3/1/2015,GBP,0.79
3/2/2015,USD,1.0
3/2/2015,CAD,1.32
3/2/2015,AUD,1.55
3/2/2015,EUR,0.92
3/2/2015,GBP,0.79
3/3/2015,USD,1.0
3/3/2015,CAD,1.32
3/3/2015,AUD,1.55
3/3/2015,EUR,0.92
3/3/2015,GBP,0.79
3/4/2015,USD,1.0
3/4/2015,CAD,1.32
3/4/2015,AUD,1.55
3/4/2015,EUR,0.92
3/4/2015,GBP,0.79
3/5/2015,USD,1.0
3/5/2015,CAD,1.32
3/5/2015,AUD,1.55
3/5/2015,EUR,0.92
3/5/2015,GBP,0.79
3/6/2015,USD,1.0
3/6/2015,CAD,1.32
3/6/2015,AUD,1.55
3/6/2015,EUR,0.92
3/6/2015,GBP,0.79
3/7/2015,USD,1.0
3/7/2015,CAD,1.32
3/7/2015,AUD,1.55
3/7/2015,EUR,0.92
3/7/2015,GBP,0.79
3/8/2015,USD,1.0
3/8/2015,CAD,1.32
3/8/2015,AUD,1.55
3/8/2015,EUR,0.92
3/8/2015,GBP,0.79
3/9/2015,USD,1.0
3/9/2015,CAD,1.32
3/9/2015,AUD,1.55
3/9/2015,EUR,0.92
3/9/2015,GBP,0.79
3/10/2015,USD,1.0
3/10/2015,CAD,1.32
3/10/2015,AUD,1.55
3/10/2015,EUR,0.92
3/10/2015,GBP,0.79
3/11/2015,USD,1.0
3/11/2015,CAD,1.32
3/11/2015,AUD,1.55
3/11/2015,EUR,0.92
3/11/2015,GBP,0.79
3/12/2015,USD,1.0
3/12/2015,CAD,1.32
3/12/2015,AUD,1.55
3/12/2015,EUR,0.92
3/12/2015,GBP,0.79
3/13/2015,USD,1.0
3/13/2015,CAD,1.32
3/13/2015,AUD,1.55
3/13/2015,EUR,0.92
3/13/2015,GBP,0.79
3/14/2015,USD,1.0
3/14/2015,CAD,1.32
3/14/2015,AUD,1.55
3/14/2015,EUR,0.92
3/14/2015,GBP,0.79
3/15/2015,USD,1.0
3/15/2015,CAD,1.32
3/15/2015,AUD,1.55
